Main food description,100 cluster group,50 cluster group,20 cluster group,10 cluster group,DBSCAN .1 2,DBSCAN .5 2,DBSCAN .5 5,DBSCAN .8 10,Affinity Prop .9 -10,Affinity Prop .9 -3,Affinity Prop .9 -1,Affinity Prop .6 -1,Affinity Prop .6 -3,Affinity Prop .6 -10
"Milk, whole",14,13,0,5,0,0,0,0,3,6,0,0,8,1
"Milk, reduced fat (2%)",14,13,0,5,1,0,0,0,3,6,0,0,8,1
"Milk, low fat (1%)",14,13,0,5,1,0,0,0,3,6,0,0,8,1
"Milk, fat free (skim)",14,13,0,5,1,0,0,0,3,6,0,0,8,1
Soy milk,14,13,0,5,1,0,0,0,3,6,0,0,8,1
"Almond milk, sweetened",14,13,0,5,-1,0,0,0,3,6,0,0,8,1
"Almond milk, unsweetened",14,13,0,5,-1,0,0,0,3,6,0,0,8,1
"Yogurt, whole milk, plain",14,13,0,5,0,0,0,0,3,6,0,0,8,1
"Yogurt, low fat milk, plain",14,13,0,5,-1,0,0,0,3,6,0,0,8,1
"Yogurt, nonfat milk, plain",86,24,19,5,-1,0,0,0,3,6,0,16,8,1
Eggnog,14,13,0,5,-1,0,0,0,3,6,0,0,8,1
White sauce or gravy,83,34,12,5,-1,0,0,0,3,6,0,0,8,1
"Cheese, Cheddar",6,8,18,4,2,0,0,0,0,7,0,19,1,0
"Cheese, Colby",6,8,18,4,2,0,0,0,0,7,0,19,1,0
"Cheese, Mozzarella, NFS",93,8,18,4,-1,0,0,0,0,7,0,19,1,0
"Cheese, Mozzarella, nonfat or fat free",60,20,3,2,-1,0,0,0,0,0,0,3,0,1
"Cheese, Parmesan, dry grated",58,38,14,4,-1,-1,-1,0,0,7,0,19,1,0
"Cheese, Swiss",6,8,18,4,-1,0,0,0,0,7,0,19,1,0
"Cheese, cottage, NFS",92,4,0,5,-1,0,0,0,3,6,0,15,8,1
"Cheese, Ricotta",0,34,12,5,-1,0,0,0,3,6,0,15,8,1
"Cheese, American",28,38,14,4,-1,0,0,0,0,7,0,19,1,0
"Cheese sandwich, American cheese, on white bread",77,26,12,3,-1,0,0,0,1,4,0,6,6,0
Alfredo sauce,83,34,12,5,-1,0,0,0,3,6,0,6,8,1
"Mozzarella sticks, breaded, baked, or fried",39,37,12,3,-1,0,0,0,1,4,0,6,6,0
"Meat, NFS",70,3,3,2,3,0,0,0,0,0,0,3,0,1
"Beef, steak, NFS",70,16,3,2,3,0,0,0,0,0,0,3,0,1
"Beef, steak, flank",70,16,3,2,3,0,0,0,0,0,0,3,0,0
"Beef, steak, ribeye, NS as to fat eaten",70,16,3,2,-1,0,0,0,0,0,0,3,0,0
"Beef, steak, sirloin, NS as to fat eaten",70,3,3,2,-1,0,0,0,0,0,0,3,0,0
"Beef, steak, T-bone, NS as to fat eaten",70,16,3,2,3,0,0,0,0,0,0,3,0,0
"Beef, steak, tenderloin",33,3,3,2,-1,0,0,0,0,0,0,2,0,1
"Beef, ground, raw",70,16,3,2,-1,0,0,0,0,0,0,3,0,1
Beef jerky,25,18,13,4,4,1,-1,0,0,0,0,1,1,0
Beef jerky,25,18,13,4,4,1,-1,0,0,0,0,1,1,0
Pork jerky,25,18,13,4,4,1,-1,0,0,0,0,1,1,0
Pork jerky,25,18,13,4,4,1,-1,0,0,0,0,1,1,0
"Pork, NFS",33,3,3,2,5,0,0,0,0,0,0,2,0,1
"Pork, chop, NS as to fat eaten",33,3,3,2,5,0,0,0,0,0,0,2,0,1
"Pork, chop, coated, NS as to fat eaten",33,3,3,2,-1,0,0,0,0,0,0,2,0,1
Ham,44,33,17,2,-1,0,0,0,0,0,0,3,0,1
"Canadian bacon, cooked",89,47,3,2,-1,0,0,0,0,0,0,2,0,1
"Lamb, NS as to cut",48,16,3,2,-1,0,0,0,0,0,0,3,0,0
Goat,33,47,3,2,-1,0,0,0,0,0,0,2,0,1
Rabbit,33,3,3,2,-1,0,0,0,0,0,0,2,0,1
Moose,65,47,3,2,-1,0,0,0,0,0,0,2,0,1
Bear,33,3,3,2,-1,0,0,0,0,0,0,2,0,1
Bison,33,3,3,2,-1,0,0,0,0,0,0,2,0,1
"Chicken, NS as to part and cooking method, NS as to skin eaten",3,20,3,2,6,0,0,0,0,0,0,3,0,1
"Chicken, NS as to part and cooking method, NS as to skin eaten",3,20,3,2,6,0,0,0,0,0,0,3,0,1
"Chicken, NS as to part, rotisserie, NS as to skin eaten",3,20,3,2,6,0,0,0,0,0,0,3,0,1
"Chicken, NS as to part, rotisserie, NS as to skin eaten",3,20,3,2,6,0,0,0,0,0,0,3,0,1
"Chicken, NS as to part, fried, coated, skin / coating eaten",21,20,3,2,-1,0,0,0,0,0,0,3,0,0
"Chicken breast, baked, broiled, or roasted, skin eaten, from raw",49,20,3,2,7,0,0,0,0,0,0,3,0,1
"Chicken breast, baked, coated, skin / coating eaten",49,20,3,2,7,0,0,0,0,0,0,3,0,1
"Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten",49,20,3,2,7,0,0,0,0,0,0,3,0,1
"Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten",49,20,3,2,7,0,0,0,0,0,0,3,0,1
"Chicken leg, drumstick and thigh, rotisserie, skin eaten",49,20,3,2,7,0,0,0,0,0,0,3,0,1
"Chicken leg, drumstick and thigh, rotisserie, skin eaten",49,20,3,2,7,0,0,0,0,0,0,3,0,1
"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",49,20,3,2,7,0,0,0,0,0,0,3,0,1
"Chicken drumstick, rotisserie, skin eaten",49,20,3,2,7,0,0,0,0,0,0,3,0,1
"Chicken thigh, NS as to cooking method, skin eaten",49,20,3,2,7,0,0,0,0,0,0,3,0,1
"Chicken thigh, baked, coated, skin / coating not eaten",49,20,3,2,7,0,0,0,0,0,0,3,0,1
"Chicken wing, NS as to cooking method",21,20,3,2,-1,0,0,0,0,0,0,3,0,0
"Chicken ""wings"", plain, from fast food / restaurant",59,35,4,2,-1,0,0,0,0,0,0,4,1,0
"Chicken, ground",49,20,3,2,7,0,0,0,0,0,0,3,0,1
"Chicken nuggets, NFS",59,43,17,2,-1,0,0,0,0,0,0,6,0,0
"Chicken tenders or strips, NFS",59,43,17,2,-1,0,0,0,0,0,0,3,0,1
"Turkey, NFS",3,47,3,2,8,0,0,0,0,0,0,2,0,1
"Turkey, drumstick, cooked, skin not eaten",3,47,3,2,8,0,0,0,0,0,0,3,0,1
"Duck, cooked, skin eaten",91,16,18,4,-1,0,0,0,0,7,0,4,1,0
"Cornish game hen, cooked, skin eaten",21,16,3,2,-1,0,0,0,0,0,0,3,0,0
Beef sausage,26,30,4,4,-1,2,-1,0,0,7,0,4,1,0
Bratwurst,45,45,4,4,-1,0,0,0,0,4,0,4,1,0
"Pepperoni, NFS",34,45,13,4,-1,-1,-1,0,0,7,0,1,1,0
Polish sausage,26,30,4,4,-1,2,-1,0,0,4,0,4,1,0
Italian sausage,7,35,4,4,9,0,0,0,0,7,0,4,1,0
Pork sausage,7,35,4,4,9,0,0,0,0,7,0,4,1,0
"Ham, prepackaged or deli, luncheon meat",89,33,17,2,-1,0,0,0,0,0,0,2,0,1
"Chicken, prepackaged or deli, luncheon meat",89,33,17,2,-1,0,0,0,0,0,0,2,0,1
Spam,45,45,4,4,-1,0,0,0,0,4,0,4,1,0
"Fish, NFS",46,10,9,8,-1,0,0,0,0,1,0,5,2,0
"Fish, carp",68,10,9,8,-1,0,0,0,0,1,0,5,2,0
